Generation,Makespan,Robustness
0,65,25.119319224452497
1,65,25.119319224452497
2,65,25.119319224452497
3,65,25.119319224452497
4,65,25.119319224452497
5,65,25.119319224452497
6,65,25.119319224452497
7,65,25.119319224452497
8,65,25.119319224452497
9,65,25.119319224452497
10,65,25.119319224452497
11,65,25.119319224452497
12,65,25.119319224452497
13,65,25.119319224452497
14,65,25.119319224452497
15,65,25.119319224452497
16,65,25.119319224452497
17,65,25.119319224452497
18,65,25.119319224452497
19,65,25.119319224452497
20,65,25.119319224452497
21,65,25.119319224452497
22,65,25.119319224452497
23,65,25.119319224452497
24,65,25.119319224452497
25,65,25.119319224452497
26,65,25.119319224452497
27,65,25.119319224452497
28,65,25.119319224452497
29,65,25.119319224452497
30,65,25.119319224452497
31,65,25.119319224452497
32,65,25.119319224452497
33,65,25.119319224452497
34,65,25.119319224452497
35,65,25.119319224452497
36,65,25.119319224452497
37,65,25.119319224452497
38,65,25.119319224452497
39,65,25.119319224452497
40,65,25.119319224452497
41,65,25.119319224452497
42,65,25.119319224452497
43,65,25.119319224452497
44,65,25.119319224452497
45,65,25.119319224452497
46,65,25.119319224452497
47,65,25.119319224452497
48,65,25.119319224452497
49,65,25.119319224452497
50,65,25.119319224452497
51,65,25.119319224452497
52,65,25.119319224452497
53,65,25.119319224452497
54,65,25.119319224452497
55,65,25.119319224452497
56,65,25.119319224452497
57,65,25.119319224452497
58,65,25.119319224452497
59,65,25.119319224452497
60,65,25.119319224452497
61,65,25.119319224452497
62,65,25.119319224452497
63,65,25.119319224452497
64,65,25.119319224452497
65,65,25.119319224452497
66,65,25.119319224452497
67,65,25.119319224452497
68,65,25.119319224452497
69,65,25.119319224452497
70,65,25.119319224452497
71,65,25.119319224452497
72,65,25.119319224452497
73,65,25.119319224452497
74,65,25.119319224452497
75,65,25.119319224452497
76,65,25.119319224452497
77,65,25.119319224452497
78,65,25.119319224452497
79,65,25.119319224452497
80,65,25.119319224452497
81,65,25.119319224452497
82,65,25.119319224452497
83,65,25.119319224452497
84,65,25.119319224452497
85,65,25.119319224452497
86,65,25.119319224452497
87,65,25.119319224452497
88,65,25.119319224452497
89,65,25.119319224452497
90,65,25.119319224452497
91,65,25.119319224452497
92,65,25.119319224452497
93,65,25.119319224452497
94,65,25.119319224452497
95,65,25.119319224452497
96,65,25.119319224452497
97,65,25.119319224452497
98,65,25.119319224452497
99,65,25.119319224452497
