Level,ID,Sigma,CPSC,PCT,TPCT
Project,2_j3017_3,0.3,69.473,69.997,0.126
Project,2_j3017_3,0.6,262.878,87.649,0.012
Project,2_j3017_3,0.9,666.13,127.102,0.002
Project,3_j3010_9,0.3,39.192,54.453,0.125
Project,3_j3010_9,0.6,125.672,66.195,0.045
Project,3_j3010_9,0.9,307.362,92.932,0.008
Project,4_j301_1,0.3,26.108,49.645,0.347
Project,4_j301_1,0.6,114.065,60.645,0.037
Project,4_j301_1,0.9,343.8,91.031,0.001
Project,5_j3020_1,0.3,96.037,63.977,0.075
Project,5_j3020_1,0.6,284.367,81.79,0.008
Project,5_j3020_1,0.9,686.996,122.948,0.0
Project,6_j3048_3,0.3,81.818,57.218,0.057
Project,6_j3048_3,0.6,282.046,77.464,0.003
Project,6_j3048_3,0.9,652.142,118.602,0.0
Project,7_j308_3,0.3,67.227,58.454,0.104
Project,7_j308_3,0.6,196.134,72.295,0.024
Project,7_j308_3,0.9,460.553,106.505,0.002
Project,8_j3035_2,0.3,61.398,62.647,0.059
Project,8_j3035_2,0.6,225.062,81.573,0.001
Project,8_j3035_2,0.9,585.452,121.542,0.001
Project,9_j6039_9,0.3,165.981,82.627,0.021
Project,9_j6039_9,0.6,612.14,108.875,0.0
Project,9_j6039_9,0.9,1617.469,170.826,0.0
Project,10_j6046_4,0.3,108.682,86.35,0.01
Project,10_j6046_4,0.6,516.433,110.109,0.001
Project,10_j6046_4,0.9,1547.754,169.426,0.0
Project,11_j609_10,0.3,34.62,106.237,0.113
Project,11_j609_10,0.6,138.77,118.904,0.014
Project,11_j609_10,0.9,462.1,157.906,0.002
Project,12_j6042_8,0.3,106.317,95.177,0.063
Project,12_j6042_8,0.6,512.812,122.606,0.0
Project,12_j6042_8,0.9,1525.937,187.019,0.0
MTPC,Program,0.3,117.716,339.932,0.0
MTPC,Program,0.6,231.877,442.676,0.0
MTPC,Program,0.9,979.19,693.467,0.0
STC,Program,0.3,17.14,382.179,1.0
STC,Program,0.6,231.211,443.56,0.04
STC,Program,0.9,979.19,693.467,0.0
